City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,st. john's,47.5649,-52.7093,78.28,83,75,18.41,CA,1690219942
84,ende,-8.8432,121.6623,73.87,89,99,9.08,ID,1690220145
85,west island,-12.1568,96.8225,76.98,83,75,18.41,CC,1690219927
86,westport,41.1415,-73.3579,87.76,61,0,8.05,US,1690220145
87,klyuchi,52.2667,79.1667,71.76,47,15,12.71,RU,1690220146
88,keflavik,64.0049,-22.5624,57.11,100,100,10.36,IS,1690220146
89,vilyuchinsk,52.9306,158.4028,53.87,90,21,9.93,RU,1690220031
90,port elizabeth,-33.918,25.5701,53.89,71,0,10.36,ZA,1690219962
91,tura,25.5198,90.2201,75.27,93,100,4.16,IN,1690220147
92,bubaque,11.2833,-15.8333,81.43,76,89,9.73,GW,1690220147
93,mount pearl,47.5166,-52.7813,77.45,83,75,18.41,CA,1690220147
94,bandarbeyla,9.4942,50.8122,76.84,71,60,34.96,SO,1690220147
95,la'ie,21.6477,-157.9253,80.56,77,54,14.47,US,1690220147
96,haiku-pauwela,20.9219,-156.3051,80.04,75,0,16.11,US,1690220148
97,kingston,17.997,-76.7936,93.24,66,20,18.41,JM,1690220024
98,edinburgh of the seven seas,-37.0676,-12.3116,58.3,81,85,35.88,SH,1690219932
99,whitehorse,60.7161,-135.0538,57.02,82,75,10.0,CA,1690220148
100,caminauit,12.3314,121.0825,80.94,85,100,24.43,PH,1690220148
101,bodaybo,57.8506,114.1933,62.11,85,28,3.06,RU,1690220149
102,tomohon,1.3346,124.8392,74.34,90,84,5.21,ID,1690220149
103,plettenberg bay,-34.0527,23.3716,50.49,71,0,5.66,ZA,1690220149
104,shar'ya,58.3686,45.5144,55.9,87,37,6.04,RU,1690220150
105,rawson,-43.3002,-65.1023,46.94,57,100,24.9,AR,1690220150
106,manta,-0.95,-80.7333,87.58,74,20,13.0,EC,1690220150
107,saint-philippe,-21.3585,55.7679,69.39,83,40,8.68,RE,1690220150
108,hermanus,-34.4187,19.2345,44.8,66,0,4.52,ZA,1690219967
109,ushuaia,-54.8,-68.3,33.46,69,0,1.14,AR,1690219890
110,barrancas,10.9576,-72.7877,99.63,38,78,7.83,CO,1690220151
111,quito,-0.2299,-78.5249,70.75,42,34,6.71,EC,1690219919
112,puerto natales,-51.7236,-72.4875,26.33,77,100,1.68,CL,1690220151
113,aykhal,66.0,111.5,55.18,86,95,4.94,RU,1690220151
114,dudinka,69.4058,86.1778,58.62,73,39,9.06,RU,1690220152
115,isafjordur,66.0755,-23.124,53.64,87,100,0.0,IS,1690219940
116,vorkuta,67.5,64.0,62.98,70,64,7.56,RU,1690220152
117,georgetown,5.4112,100.3354,81.01,84,20,3.44,MY,1690220152
118,vilyuysk,63.7553,121.6247,61.74,93,60,5.77,RU,1690220153
119,wailua homesteads,22.0669,-159.378,79.59,86,100,19.57,US,1690219969
120,along,28.1667,94.7667,74.88,97,100,1.57,IN,1690220153
121,pisco,-13.7,-76.2167,71.65,60,0,8.05,PE,1690220153
122,geraldton,-28.7667,114.6,50.41,71,59,14.97,AU,1690220154
123,auki,-8.7676,160.7034,75.42,89,70,3.09,SB,1690220154
124,obo,5.3998,26.4869,73.08,84,89,2.89,CF,1690220154
125,vorgashor,67.5833,63.95,62.01,72,61,7.0,RU,1690220154
126,furmanov,57.2508,41.1058,54.77,92,96,6.76,RU,1690220155
127,morehead,37.2711,-87.1764,86.86,69,0,9.22,US,1690219981
128,ribeira grande,38.5167,-28.7,72.0,94,75,2.3,PT,1690220155
129,kone,-21.0595,164.8658,60.28,83,89,4.36,NC,1690220155
130,lensk,60.7253,114.9278,65.64,74,45,2.93,RU,1690220155
131,yarmouth,41.7057,-70.2286,84.96,67,0,9.22,US,1690220156
132,kayangel,8.0823,134.7173,78.82,84,100,5.46,PW,1690220156
133,novaya igirma,57.1334,103.9112,60.03,96,99,3.62,RU,1690220156
134,erenhot,43.6475,111.9767,77.85,33,17,2.01,CN,1690220156
135,ingeniero jacobacci,-41.3427,-69.5448,36.14,75,99,19.69,AR,1690220156
136,la passe,45.5549,-0.8967,73.63,71,86,16.87,FR,1690219934
137,naze,28.3667,129.4833,81.52,82,94,13.44,JP,1690220157
138,kupang,-10.1667,123.5833,71.87,79,50,15.64,ID,1690220157
139,wynyard,-41.0,145.7167,46.11,85,60,5.99,AU,1690219918
140,saldanha,-33.0117,17.9442,48.25,67,0,12.24,ZA,1690220157
141,okha,53.5739,142.9478,58.21,84,97,3.65,RU,1690220157
142,czarna bialostocka,53.3051,23.2815,71.82,78,89,5.17,PL,1690220158
143,ilulissat,69.2167,-51.1,48.22,81,40,4.61,GL,1690220158
144,novodvinsk,64.4165,40.8122,55.6,88,86,4.23,RU,1690220009
145,san-pedro,4.7485,-6.6363,78.01,83,78,8.72,CI,1690220010
146,lazaro cardenas,17.9583,-102.2,87.85,60,100,2.59,MX,1690220158
147,meadow lakes,61.6247,-149.6011,65.41,79,0,1.01,US,1690220159
148,marka,1.7159,44.7717,76.35,83,45,16.93,SO,1690220159
149,vila velha,-20.3297,-40.2925,76.95,75,40,8.05,BR,1690220160
150,meadow lake,34.8014,-106.5436,93.79,24,4,8.21,US,1690220030
151,moshi,-3.35,37.3333,71.98,68,74,4.7,TZ,1690220161
152,elmadag,39.9208,33.2308,76.35,54,24,9.6,TR,1690220161
153,jincheng,35.5022,112.8328,78.37,68,24,2.73,CN,1690220161
154,arraial do cabo,-22.9661,-42.0278,78.76,73,0,16.11,BR,1690220161
155,haapsalu,58.9431,23.5414,64.9,69,30,7.87,EE,1690220162
156,bredasdorp,-34.5322,20.0403,46.87,73,0,4.54,ZA,1690220162
157,iskateley,67.6803,53.1512,59.5,82,98,7.14,RU,1690219979
158,luwuk,-0.9516,122.7875,75.9,88,77,5.12,ID,1690220163
159,ankang,32.68,109.0172,74.73,87,70,2.24,CN,1690219989
160,mugia,43.1041,-9.2179,70.92,72,28,12.88,ES,1690219939
161,tres lagoas,-20.7511,-51.6783,88.07,22,0,6.53,BR,1690220163
162,amphoe sikhiu,14.8994,101.7083,76.19,89,93,4.43,TH,1690220164
163,guerrero negro,27.9769,-114.0611,81.12,47,76,9.98,MX,1690219960
164,serhiyivka,46.0272,30.3768,75.18,72,3,16.78,UA,1690220164
165,anadyr,64.75,177.4833,50.5,93,75,13.0,RU,1690220164
166,inyonga,-6.7167,32.0667,70.97,36,89,4.52,TZ,1690220165
167,keningau,5.3378,116.1602,71.91,98,99,1.05,MY,1690220165
168,hailin,44.5833,129.4167,64.17,94,2,3.06,CN,1690220165
169,canutama,-6.5339,-64.3831,97.12,23,85,3.74,BR,1690220165
170,kichmengskiy gorodok,59.9816,45.7854,55.26,94,85,5.21,RU,1690220165
171,utrik,11.2278,169.8474,82.71,78,56,15.5,MH,1690219975
172,luderitz,-26.6481,15.1594,57.42,66,94,13.96,NA,1690220166
173,al hudaydah,14.7978,42.9545,95.88,42,95,20.33,YE,1690220166
174,mana,5.6592,-53.7767,86.92,64,21,8.5,GF,1690220166
175,berezovyy,51.6667,135.7,65.46,90,97,2.84,RU,1690219988
176,tazovsky,67.4667,78.7,60.6,88,36,5.28,RU,1690219924
177,al bawiti,28.3492,28.8659,94.53,20,0,19.66,EG,1690220167
178,bridlington,54.0831,-0.1919,62.53,72,68,8.01,GB,1690220168
179,nemuro,43.3236,145.575,61.34,98,100,11.99,JP,1690220168
180,avarua,-21.2078,-159.775,73.45,83,100,4.61,CK,1690219967
181,hanford,36.3275,-119.6457,90.25,23,0,9.22,US,1690220102
182,vatra dornei,47.35,25.3667,67.57,78,21,3.33,RO,1690220169
183,darhan,49.4867,105.9228,61.3,88,69,3.22,MN,1690220169
184,ciutadella,40.0011,3.8414,86.81,76,93,8.81,ES,1690220169
185,palembang,-2.9167,104.7458,77.09,94,40,2.3,ID,1690220169
186,dordrecht,51.81,4.6736,64.98,77,83,4.0,NL,1690220059
187,parelhas,-6.6878,-36.6575,90.09,32,16,16.98,BR,1690220170
188,ponta delgada,37.7333,-25.6667,79.52,61,20,12.66,PT,1690220170
189,coquimbo,-29.9533,-71.3436,60.53,77,0,12.66,CL,1690219901
190,ta`u,-14.2336,-169.5144,78.55,74,60,13.89,AS,1690220170
191,ceeldheer,3.8488,47.1806,77.22,76,29,21.52,SO,1690220171
192,rijau,11.103,5.2507,80.11,74,99,5.64,NG,1690220171
193,hilo,19.7297,-155.09,88.29,94,100,4.61,US,1690220148
194,bataipora,-22.2953,-53.2711,85.82,29,12,6.06,BR,1690220171
195,las lomitas,-24.7096,-60.593,69.24,49,94,7.09,AR,1690220171
196,jayapura,-2.5333,140.7,78.19,92,98,3.91,ID,1690220172
197,port mathurin,-19.6833,63.4167,73.65,76,21,17.25,MU,1690219957
198,papatowai,-46.5619,169.4708,45.1,87,89,7.81,NZ,1690220172
199,navalmoral de la mata,39.8916,-5.5406,86.95,17,20,17.05,ES,1690220172
200,post,33.1909,-101.3782,95.97,24,0,11.16,US,1690220172
201,dubbo,-32.25,148.6167,41.13,87,0,13.8,AU,1690219962
202,sungai raya,0.7,108.9,78.55,88,96,8.19,ID,1690220173
203,lethem,3.3803,-59.7968,87.89,60,27,2.51,GY,1690220173
204,puerto carreno,6.189,-67.4859,84.18,74,40,4.61,CO,1690220173
205,valentin gomez farias,28.2167,-106.5833,85.64,26,5,14.72,MX,1690220174
206,tsiombe,-25.3,45.4833,63.79,85,48,2.93,MG,1690220174
207,hirara,24.8,125.2833,82.67,83,40,6.91,JP,1690220174
208,narsinghgarh,23.7,77.1,81.39,80,98,6.78,IN,1690220175
209,brokopondo,4.75,-55.1667,87.67,60,21,5.19,SR,1690220175
210,griffith,41.5284,-87.4237,87.12,55,0,6.91,US,1690220175
211,nonsan,36.2039,127.0847,73.62,96,99,3.33,KR,1690220175
212,vasteras,59.6162,16.5528,66.11,59,75,12.66,SE,1690220175
213,bobrov,51.0961,40.0333,62.01,73,82,4.65,RU,1690220176
214,thompson,55.7435,-97.8558,75.36,38,20,8.05,CA,1690219937
215,siwa oasis,29.2041,25.5195,100.6,17,0,20.74,EG,1690220176
216,pitalito,1.8497,-76.0479,71.2,71,89,2.93,CO,1690220127
217,kodinsk,58.6881,99.1844,63.18,91,94,0.83,RU,1690220176
218,chonchi,-42.6128,-73.8092,45.12,94,99,10.4,CL,1690220177
219,codrington,-38.2667,141.9667,52.86,68,93,4.76,AU,1690220177
220,oranjemund,-28.55,16.4333,54.68,76,100,19.69,NA,1690220177
221,labrador city,52.9463,-66.9114,78.71,38,40,9.22,CA,1690219961
222,wainwright,52.839,-110.8572,81.1,44,17,16.69,CA,1690220178
223,ratne,51.6683,24.5303,70.45,72,82,8.19,UA,1690220178
224,santa elena de uairen,4.6167,-61.1333,77.41,65,83,6.69,VE,1690220178
225,jamestown,42.097,-79.2353,81.01,56,40,9.22,US,1690220163
226,tikhvin,59.6451,33.5294,57.22,85,85,2.68,RU,1690220179
227,pama,11.2497,0.7075,82.92,66,83,7.54,BF,1690220179
228,sitka,57.0531,-135.33,57.09,82,20,4.61,US,1690220179
229,quellon,-43.1167,-73.6167,46.65,93,100,27.63,CL,1690220014
230,hassi messaoud,31.6804,6.0729,112.86,5,0,5.75,DZ,1690220180
231,monaca,40.6873,-80.2714,86.77,52,75,5.99,US,1690220180
232,calama,-22.4667,-68.9333,73.89,7,0,13.8,CL,1690219941
233,zapata,26.9073,-99.2714,96.91,36,2,6.91,US,1690220020
234,chikhli,20.35,76.25,74.61,87,99,15.61,IN,1690220181
235,lerwick,60.1545,-1.1494,57.2,79,30,12.15,GB,1690220181
236,agdam,39.991,46.9274,83.41,39,22,5.1,AZ,1690220183
237,hammerfest,70.6634,23.6821,52.25,87,75,10.36,NO,1690220183
238,pathein,16.7833,94.7333,78.42,91,64,7.31,MM,1690220183
239,kaspiyskiy,45.3929,47.3707,80.78,59,92,13.2,RU,1690220184
240,nyurba,63.2842,118.3319,62.78,88,49,7.92,RU,1690219986
241,regina,50.4501,-104.6178,84.18,50,75,17.27,CA,1690220183
242,lagoa,39.05,-27.9833,72.36,83,68,12.35,PT,1690220185
243,ust-tsilma,65.441,52.1498,58.48,93,84,4.38,RU,1690220185
244,new carlisle,39.9362,-84.0255,83.89,72,75,11.5,US,1690220185
245,itamaraca,-7.7478,-34.8256,75.25,72,21,12.97,BR,1690220185
246,katima mulilo,-17.5,24.2667,68.32,22,2,2.66,NA,1690220186
247,port alfred,-33.5906,26.891,55.63,65,2,10.83,ZA,1690220186
248,veruela,8.0731,125.9558,76.95,84,100,5.79,PH,1690220186
249,atafu village,-8.5421,-172.5159,84.92,65,46,16.98,TK,1690220186
250,mo i rana,66.3128,14.1428,61.27,88,75,3.44,NO,1690220187
251,mormugao,15.4,73.8,76.26,100,100,6.91,IN,1690220187
252,uturoa,-16.7333,-151.4333,79.97,82,27,16.33,PF,1690220187
253,fomboni,-12.28,43.7425,77.27,77,75,12.1,KM,1690220187
254,bodo,67.28,14.405,59.45,84,75,5.75,NO,1690220096
255,hasaki,35.7333,140.8333,75.31,89,74,7.27,JP,1690220188
256,susuman,62.7833,148.1667,49.03,74,73,4.47,RU,1690220188
257,whangarei,-35.7317,174.3239,47.95,98,41,3.76,NZ,1690220188
258,isiro,2.7739,27.616,68.94,94,72,2.06,CD,1690220188
259,beledweyne,4.7358,45.2036,82.11,53,97,24.45,SO,1690220016
260,cuero,29.0939,-97.2892,95.68,32,22,6.35,US,1690220189
261,mokshan,53.4365,44.6132,61.36,78,100,6.44,RU,1690220189
262,naberera,-4.2,36.9333,62.33,69,53,9.93,TZ,1690220189
263,yunyang,33.4474,112.7142,80.17,88,73,3.74,CN,1690220190
264,la ronge,55.1001,-105.2842,73.65,56,0,3.44,CA,1690220190
265,fort st. john,56.2499,-120.8529,58.89,82,100,4.61,CA,1690220190
266,mar del plata,-38.0023,-57.5575,49.95,63,40,15.01,AR,1690220190
267,rabo de peixe,37.8,-25.5833,78.31,61,20,12.66,PT,1690220190
268,fonte boa,-2.4959,-66.2662,93.13,38,4,4.29,BR,1690220191
269,fortuna,40.5982,-124.1573,72.93,74,20,5.75,US,1690220129
270,bengkulu,-3.8004,102.2655,74.25,85,39,3.71,ID,1690220191
271,ulsteinvik,62.3432,5.8487,58.98,86,100,11.01,NO,1690220191
272,dakhla,23.6848,-15.958,77.02,61,11,31.07,EH,1690220191
273,kegeyli shahar,42.7767,59.6078,93.29,25,37,10.49,UZ,1690220025
274,praia da vitoria,38.7333,-27.0667,77.25,78,40,12.17,PT,1690220192
275,suntar,62.1444,117.6319,66.63,66,15,1.03,RU,1690220192
276,homer,59.6425,-151.5483,60.76,88,0,3.44,US,1690220192
277,viedma,-40.8135,-62.9967,50.49,46,99,11.74,AR,1690220193
278,cidreira,-30.1811,-50.2056,62.82,93,100,11.3,BR,1690220193
279,trenggalek,-8.05,111.7167,70.21,95,52,0.58,ID,1690220198
280,nelson bay,-32.7167,152.15,52.09,97,59,7.87,AU,1690220088
281,daru,-9.0763,143.2092,75.24,73,100,7.36,PG,1690220198
282,gwadar,25.1216,62.3254,83.44,78,100,8.01,PK,1690220199
283,tunceli,39.1083,39.5471,74.23,53,1,9.66,TR,1690220199
284,roma,43.2128,-75.4557,84.96,54,20,3.44,US,1690220199
